ticker,year,hour_bucket,trades,win_rate,avg_R,PF
QQQ,2024,10:45,2,50.0,0.24999999999996902,1.4924351154167248
QQQ,2024,11:00,12,41.66666666666667,0.09347682119205487,1.1071688753502784
QQQ,2024,11:15,7,42.857142857142854,0.07142857142858032,1.2621068757321996
QQQ,2024,11:30,5,40.0,1.3633538742396922e-14,0.9032107847006549
QQQ,2025,09:30,51,41.17647058823529,0.029411764705894353,1.151577237294484
QQQ,2025,09:45,40,47.5,0.18750000000000094,1.181926995433546
QQQ,2025,10:00,31,48.38709677419355,0.209677419354839,1.092160627861741
QQQ,2025,10:15,23,26.08695652173913,-0.26663049999256566,0.5542101578079924
QQQ,2025,10:30,11,45.45454545454545,0.1363636363636337,1.4135527920306772
QQQ,2025,10:45,2,50.0,0.25000000000004313,1.1522869022869617
